Image,S1,S2,S3,S4,S5,S6,S7,Labels,Set
IMG (19).png,0.0007680470314126299,3.373236711376587e-08,2.6555893167373495e-13,2.3201069314573925e-12,-1.6795611470876375e-24,3.4832787215584106e-16,7.039970835705604e-25,1,train
IMG (2).png,0.0007682032456497213,3.343190495011762e-08,2.854905848099959e-13,2.3123016249771995e-12,-1.738442826844619e-24,3.446055109289155e-16,7.123303498314802e-25,1,train
IMG (20).png,0.0007663535586609188,3.445151239402204e-08,4.636579037669668e-13,2.33689726272493e-12,-2.193302224055578e-24,3.8719595447583743e-16,1.0519644232603332e-24,1,train
IMG (21).png,0.0007680510420506913,3.3536745947758015e-08,2.803937279564373e-13,2.290860906846672e-12,-1.6746960039767846e-24,3.4119816605842965e-16,7.526204767682153e-25,1,train
IMG (22).png,0.0007727601628164684,3.464197725822221e-08,1.6285954199438338e-13,2.5332033516413106e-12,-1.5815328411958262e-24,3.85247299076073e-16,3.8233110788169426e-25,1,train
IMG (23).png,0.0007675174650726511,3.326330665408528e-08,3.215564358966455e-13,2.3033267938767808e-12,-1.8821947839087937e-24,3.4491135518972196e-16,6.218693454420756e-25,1,train
IMG (24).png,0.0007730016154175485,3.4720380483051856e-08,1.6691946322634594e-13,2.553868221379785e-12,-1.601203002667611e-24,3.889865494524605e-16,4.653148461207929e-25,1,train
IMG (25).png,0.0007681175407525927,3.34452565529924e-08,2.7879557182006307e-13,2.2981700129165873e-12,-1.6990173796580695e-24,3.426575630807574e-16,7.052342551744919e-25,1,train
IMG (26).png,0.0007672596163632805,3.387371450331837e-08,3.485376371224379e-13,2.313010280461096e-12,-1.900423311807217e-24,3.612056172114539e-16,8.375083111943525e-25,1,train
IMG (27).png,0.0007681875649609882,3.351075144572163e-08,2.8054419035689335e-13,2.300157726593357e-12,-1.6961997909225786e-24,3.437927075063601e-16,7.327958225653877e-25,1,train
IMG (28).png,0.0007679363727731681,3.337664146749985e-08,2.8287102815463555e-13,2.2822586940223584e-12,-1.6648552808961352e-24,3.3924722152268313e-16,7.687118025219377e-25,1,train
IMG (29).png,0.0007729200149693167,3.461822643707324e-08,1.7573474357893533e-13,2.5552407275018053e-12,-1.6430830108249212e-24,3.882132274417013e-16,4.818763623034026e-25,1,train
IMG (3).png,0.0007683227075118105,3.355239051227689e-08,2.8616157934727135e-13,2.3003672212051052e-12,-1.7231670258070024e-24,3.424111704448232e-16,7.170016010946952e-25,1,train
IMG (30).png,0.0007729282685344572,3.464481865020501e-08,1.6413387057654736e-13,2.5514940770245997e-12,-1.5751616936856952e-24,3.872175887681083e-16,4.951944044545684e-25,1,train
IMG (31).jpg,0.0009015756735037774,4.052555545299274e-07,2.017465524249016e-11,7.779456759949935e-12,9.745178778731037e-23,4.940787781960371e-15,1.274828110240393e-24,1,train
IMG (32).jpg,0.0009031208013615187,4.086713917146019e-07,2.0511599141741532e-11,7.951417673766272e-12,1.0154249652219823e-22,5.073701235372913e-15,9.441791853143018e-25,1,train
IMG (33).jpg,0.0009062412859044475,4.147416624128325e-07,2.1053894471147698e-11,8.263500002556562e-12,1.0899279908009146e-22,5.313314152578436e-15,8.894997171897162e-25,1,train
IMG (34).jpg,0.0009080324334909286,4.17797466085021e-07,2.103146134237237e-11,8.344621927103852e-12,1.1053859901013701e-22,5.3892776443191794e-15,-1.315797364313476e-24,1,train
IMG (35).jpg,0.0009090813574693074,4.19854643028147e-07,2.1187782284877532e-11,8.482546973792496e-12,1.1371828029516232e-22,5.490250756955287e-15,3.3437137972686053e-25,1,train
IMG (36).jpg,0.0009093210175069756,4.201673853743141e-07,2.124255783302624e-11,8.618409041482086e-12,1.1660976668288142e-22,5.5827860342200714e-15,-7.562119542950437e-25,1,train
IMG (37).jpg,0.0009091447490298183,4.1983734466341355e-07,2.1386001565269438e-11,8.721530508990434e-12,1.191100892598407e-22,5.645690321455682e-15,5.886506399542108e-25,1,train
IMG (38).jpg,0.0009078086198079772,4.1705818686857764e-07,2.117675095309282e-11,8.710543653658845e-12,1.1830215074097965e-22,5.618095524644496e-15,5.629352708487317e-25,1,train
IMG (39).jpg,0.0009067786494975931,4.1467995620051933e-07,2.1139645862821692e-11,8.85055316453426e-12,1.210598139180541e-22,5.691999455996162e-15,-5.495422935001086e-25,1,train
IMG (4).png,0.0007729197708243056,3.468391283087859e-08,1.6085846197327175e-13,2.546489021783582e-12,-1.5528342884869963e-24,3.8624182162267585e-16,4.949323721304653e-25,1,train
IMG (40).jpg,0.0009062859504685014,4.1323700708152783e-07,2.178083257302776e-11,9.195642640234692e-12,1.3013917592082654e-22,5.8967478215781445e-15,4.248426277675908e-25,1,train
IMG (41).jpg,0.0009026467047841745,4.060817582730973e-07,2.2199415017002723e-11,9.285435407883989e-12,1.3326686163557242e-22,5.879161214371757e-15,3.5265453369911174e-24,1,train
IMG (42).jpg,0.0009053199982734727,4.094342952790306e-07,2.4258654128850028e-11,1.0411771319380904e-11,1.654244550432049e-22,6.611410103700632e-15,3.89854275400673e-24,1,train
IMG (43).jpg,0.0009102190337241557,4.1689603881628545e-07,2.6870786437034454e-11,1.1668100718410054e-11,2.0652198675249965e-22,7.45807835172941e-15,5.8497287469572484e-24,1,train
IMG (44).jpg,0.0009131711401414921,4.2194605845683413e-07,2.8167648899600214e-11,1.1965890713439457e-11,2.1947501313319246e-22,7.663343501357435e-15,9.515161132704373e-24,1,train
IMG (45).jpg,0.000913639004963372,4.225835832218228e-07,2.8460658958001472e-11,1.1855847233540066e-11,2.17464060477771e-22,7.567213698899425e-15,1.1757880746325772e-23,1,train
IMG (46).jpg,0.0009108223062649827,4.1748865725890665e-07,2.7525262730163503e-11,1.1500204238142297e-11,2.0435267423030421e-22,7.30613157966322e-15,1.023225010104668e-23,1,test
IMG (47).jpg,0.0009088836590857264,4.1411839610643536e-07,2.6934114876052577e-11,1.1202841002254241e-11,1.9434846465571896e-22,7.0881902641979356e-15,9.897964296901991e-24,1,test
IMG (48).jpg,0.0009084089917957723,4.135706531067686e-07,2.6608096027921496e-11,1.0753802606103504e-11,1.8159420184013215e-22,6.765412277864269e-15,1.066727198667993e-23,1,test
IMG (49).jpg,0.0009092626518545436,4.155525247513046e-07,2.6226446258658447e-11,1.0214948296673278e-11,1.6679205604039364e-22,6.3928131562211276e-15,1.1604644767845702e-23,1,test
IMG (5).png,0.0007729275334784816,3.4778565527407943e-08,1.5142277944161775e-13,2.5451784148362155e-12,-1.5202201201295884e-24,3.883679401647807e-16,4.3071243914933e-25,1,test
IMG (50).jpg,0.0009066296356549598,4.115630677422678e-07,2.3912139205307277e-11,8.82958495567554e-12,1.2786058861510785e-22,5.450262615045124e-15,1.0584362531785416e-23,1,test
IMG (51).jpg,0.0009014699397845503,4.048814066008748e-07,1.8671970945335057e-11,6.637481717603049e-12,7.364506386950412e-23,4.064205132883062e-15,6.041463750749065e-24,1,test
IMG (52).jpg,0.000901163228493309,4.044178155288235e-07,1.7911500173954896e-11,6.430762645526666e-12,6.880626177410734e-23,3.9492204307223755e-15,5.3966768833506985e-24,1,test
IMG (53).jpg,0.000899923533873879,4.025505062733786e-07,1.7026861105837258e-11,6.124914423454919e-12,6.237592337597153e-23,3.764418701970095e-15,4.6440152136193615e-24,1,test
IMG (54).jpg,0.0008988276429577049,4.007442169034382e-07,1.6272383811565816e-11,5.8692950080021654e-12,5.721941415447181e-23,3.611794404835948e-15,4.0047310991044276e-24,1,test
IMG (55).jpg,0.0008970309913972626,3.9769250877805673e-07,1.5631748377744366e-11,5.642380541352187e-12,5.287618252804524e-23,3.472934103446978e-15,3.477588172254751e-24,2,train
IMG (56).jpg,0.000896427305423087,3.964037296874004e-07,1.5251032233143502e-11,5.499623016150378e-12,5.0265124059717005e-23,3.387667433789939e-15,3.2071902674848515e-24,2,train
IMG (57).jpg,0.0008980747576881847,3.987458476736284e-07,1.4983256565779033e-11,5.345758448876892e-12,4.7790094342422187e-23,3.3266840470691083e-15,2.2462929375533213e-24,2,train
IMG (58).jpg,0.00089513941380165,3.943868488466738e-07,1.535768896714174e-11,5.50654594572432e-12,5.0593410120190826e-23,3.418241942581359e-15,2.139244855771456e-24,2,train
IMG (59).jpg,0.000896365297770592,3.958141102500116e-07,1.5990718861072502e-11,5.772581615550467e-12,5.544011005115071e-23,3.608876629716539e-15,1.5286742121640947e-24,2,train
IMG (6).png,0.0007680157284950961,3.345528534479937e-08,2.885968203397315e-13,2.286148838512036e-12,-1.693274238839257e-24,3.403111921186687e-16,7.623138365866132e-25,2,train
IMG (60).jpg,0.0008930680422336488,3.8933599662434137e-07,1.7462301960298644e-11,6.39421164595613e-12,6.75461686522364e-23,3.9728362984336985e-15,1.6563672903623623e-24,2,train
IMG (61).jpg,0.0008508593620376497,3.204300116173148e-07,1.9882478562253234e-11,2.3851936427889144e-12,8.90805645519435e-24,3.1111683316210426e-16,-1.3800225502507363e-23,2,train
IMG (62).jpg,0.0009066505274392625,4.154772326230716e-07,2.685281985253878e-11,2.8773470754959158e-12,4.8489239346270494e-24,-2.571333862083438e-16,-2.482284533631519e-23,2,train
IMG (63).jpg,0.001014665375199203,6.15132160761549e-07,3.6602949357680275e-11,3.521936679013796e-12,-1.4347848312041455e-23,-1.538942213166611e-15,-3.732538470871732e-23,2,train
IMG (64).jpg,0.0009773665838173752,5.479440539560976e-07,2.932025786824092e-11,2.8442277569095053e-12,-5.728022663513081e-24,-9.438635209903404e-16,-2.5334016124456426e-23,2,train
IMG (65).jpg,0.0008441155633178783,3.122115786176316e-07,1.026590981164315e-11,7.998364644594489e-13,-6.538217968367248e-25,-1.825316822696536e-16,-2.196688454352659e-24,2,train
IMG (66).jpg,0.0008537426620569765,3.181145413773688e-07,8.633828146838792e-12,1.720029377961394e-12,6.6113347523087e-24,9.633851957680854e-16,4.746467540350197e-25,2,train
IMG (67).jpg,0.0008667014242409162,3.398775997350056e-07,9.587775095484403e-12,2.220613301773788e-12,1.0223910358282459e-23,1.2876494303204637e-15,-6.774425911935701e-25,2,train
IMG (68).jpg,0.0008993258862917346,3.198651460718959e-07,2.221256854496127e-11,7.07323324908639e-12,6.877139952041529e-23,1.6218858272435642e-15,-5.595570327501714e-23,2,train
IMG (69).jpg,0.0008159960615901414,2.55485607411454e-07,9.947139077266812e-12,8.336225094148591e-13,-3.5511520255025774e-25,-1.599762352844846e-16,-2.374096492052115e-24,2,train
IMG (7).png,0.0007725593602866277,3.456381085620952e-08,1.7429103198409568e-13,2.544312766257344e-12,-1.6305990114477386e-24,3.8809652310235207e-16,4.6025908368880245e-25,2,train
IMG (70).jpg,0.0008034735577407053,2.3727942371456773e-07,7.380874418832434e-12,6.362239945364538e-13,1.0524287037424397e-26,-6.53767198241057e-17,-1.3786572865913348e-24,2,train
IMG (71).jpg,0.0008860719309179703,3.7292987951968756e-07,8.333890609086164e-12,2.003079846625114e-12,8.132669411505673e-24,1.2035973424624928e-15,-9.161293152109064e-25,2,train
IMG (72).jpg,0.0009036443240119556,4.0760499454513435e-07,7.118134243377015e-12,1.832713834936472e-12,6.522173320294994e-24,1.1234757409183438e-15,-1.130934500842416e-24,2,train
IMG (73).jpg,0.000914983456215635,4.3331963095284616e-07,5.151806585752139e-12,1.3784196604060267e-12,3.571210690135842e-24,8.292048873022302e-16,-8.598322391616193e-25,2,train
IMG (74).jpg,0.0008896939128824348,3.859412225759848e-07,2.1084103166154724e-12,5.105776596026765e-13,5.285528633702062e-25,3.159538449137759e-16,-3.558153547959505e-26,2,train
IMG (75).jpg,0.0008714648942888767,3.5238362787363154e-07,1.7140442489636882e-12,2.174223363053841e-13,1.1395681307172385e-25,1.003805454625766e-16,6.805107028854671e-26,2,train
IMG (76).jpg,0.0008924651042891336,3.8701775450673215e-07,6.520563291344036e-12,1.1244845248616543e-12,2.4696893538757033e-24,4.2618882371856275e-16,1.7810221041247377e-24,2,train
IMG (77).jpg,0.0009137609766949142,4.2541509640464294e-07,1.0985307244298993e-11,2.0311998485939093e-12,7.750014880124855e-24,7.595948104685018e-16,5.656597972393912e-24,2,train
IMG (78).jpg,0.0009114371156187727,4.212500188666171e-07,1.4375430651929472e-11,2.8625013431481968e-12,1.564706810024797e-23,1.1836674825513527e-15,9.609696908479355e-24,2,train
IMG (79).jpg,0.0008810753127084243,3.6585575625444794e-07,1.1641515163879041e-11,2.5065547955744387e-12,1.2617381515833909e-23,1.2298137720503785e-15,4.912726647431431e-24,2,train
IMG (8).png,0.0007737107072789723,3.4116612043116e-08,2.5703569349843205e-13,2.3628228301186807e-12,-1.704392042089652e-24,3.4132936310478666e-16,6.9694232350101225e-25,2,train
IMG (80).jpg,0.0007837449080302936,2.145781151602057e-07,3.876972215308006e-12,4.777657140861423e-13,4.0870022526598127e-25,7.394170847906315e-17,-5.057338296233643e-25,2,train
IMG (81).jpg,0.0008690013943296338,3.402426538849187e-07,1.0075380091497378e-11,2.403951899797403e-12,1.1801609461724672e-23,1.3901728857025348e-15,8.326091278768541e-25,2,train
IMG (82).jpg,0.000879317113119397,3.6038233574722457e-07,8.87480852065563e-12,2.2117803396215348e-12,9.771129687401488e-24,1.3178891233176997e-15,-7.417342069650663e-25,2,train
IMG (83).jpg,0.0008849517167991866,3.7251515049515035e-07,8.946535200072316e-12,2.224251404459536e-12,9.865218963294078e-24,1.3370224631401335e-15,-1.0608315611913434e-24,2,train
IMG (84).jpg,0.0009014107604449869,4.0462419986598935e-07,6.721251245681163e-12,1.6093334829209595e-12,5.189587028911096e-24,9.732676791294805e-16,-1.0406894429731037e-24,2,train
IMG (85).jpg,0.0007866899563338384,2.2478590503920967e-07,5.366483316174148e-12,5.413692279877789e-13,5.685049254741452e-25,1.0399511133522978e-16,-7.268248539933406e-25,2,train
IMG (86).jpg,0.0008322657232909152,2.8063171342836586e-07,1.0834854669441021e-11,1.1925801066812863e-12,1.2949403035618015e-24,-5.2635529898251285e-17,-4.086636969466381e-24,2,train
IMG (87).jpg,0.0008289401779014312,2.8767848619960274e-07,1.2716097182283904e-11,9.409770309526986e-13,-1.1741496817481787e-24,-2.650367859971541e-16,-3.0358075076362577e-24,2,train
IMG (88).jpg,0.0008002517344251211,2.449082641470248e-07,7.97983754632908e-12,6.963960437933321e-13,4.66860496808282e-25,1.4168795201074148e-17,-1.5738701122405235e-24,2,train
IMG (89).jpg,0.0007907040842485044,2.303217573605848e-07,6.306244207136116e-12,6.255799608064665e-13,7.201300150939659e-25,1.0623099438277998e-16,-1.0125774674384092e-24,2,train
IMG (9).png,0.0007728129982180499,3.464765303425538e-08,1.5063035519813266e-13,2.5516152045004066e-12,-1.5135099706124265e-24,3.872992653302653e-16,4.601033944359025e-25,2,train
img (90).jpg,0.0008034735577407053,2.3727942371456773e-07,7.380874418832434e-12,6.362239945364538e-13,1.0524287037424397e-26,-6.53767198241057e-17,-1.3786572865913348e-24,2,train
